,2017-2022 NAICS to SIC Crosswalk,,
2361,314999,"Girl's and Children's Dresses, Blouses","All Other Miscellaneous Textile ProductMills"
2361,314999,"Girl's and Children's Dresses, Blouses","All Other Miscellaneous Textile ProductMills"
2369,314999,"Girl's and Children's Outerwear, Nec","All Other Miscellaneous Textile ProductMills"
2369,314999,"Girl's and Children's Outerwear, Nec","All Other Miscellaneous Textile ProductMills"
2371,314999,Fur Goods,"All Other Miscellaneous Textile ProductMills"
2371,314999,Fur Goods,"All Other Miscellaneous Textile ProductMills"
2381,314999,Fabric Dress and Work Gloves,"All Other Miscellaneous Textile ProductMills"
2381,314999,Fabric Dress and Work Gloves,"All Other Miscellaneous Textile ProductMills"
2384,314999,Robes and Dressing Gowns,"All Other Miscellaneous Textile ProductMills"
2384,314999,Robes and Dressing Gowns,"All Other Miscellaneous Textile ProductMills"
2385,314999,Waterproof Outerwear,"All Other Miscellaneous Textile ProductMills"
2385,314999,Waterproof Outerwear,"All Other Miscellaneous Textile ProductMills"
2386,314999,Leather and Sheep-lined Clothing,"All Other Miscellaneous Textile ProductMills"
2386,314999,Leather and Sheep-lined Clothing,"All Other Miscellaneous Textile ProductMills"
2387,314999,Apparel Belts,"All Other Miscellaneous Textile ProductMills"
2387,314999,Apparel Belts,"All Other Miscellaneous Textile ProductMills"
2389,314999,"Apparel and Accessories, Nec","All Other Miscellaneous Textile ProductMills"
2389,314999,"Apparel and Accessories, Nec","All Other Miscellaneous Textile ProductMills"
2395,314999,Pleating and Stitching,"All Other Miscellaneous Textile ProductMills"
2395,314999,Pleating and Stitching,"All Other Miscellaneous Textile ProductMills"
2395,314999,Pleating and Stitching,"All Other Miscellaneous Textile ProductMills"
2396,314999,Automotive and Apparel Trimmings,"All Other Miscellaneous Textile ProductMills"
2396,314999,Automotive and Apparel Trimmings,"All Other Miscellaneous Textile ProductMills"
2396,314999,Automotive and Apparel Trimmings,"All Other Miscellaneous Textile ProductMills"
2399,314999,"Fabricated Textile Products, Nec","All Other Miscellaneous Textile ProductMills"
2399,314999,"Fabricated Textile Products, Nec","All Other Miscellaneous Textile ProductMills"
2399,314999,"Fabricated Textile Products, Nec","All Other Miscellaneous Textile ProductMills"
3151,314999,Leather Gloves and Mittens,"All Other Miscellaneous Textile ProductMills"
3151,314999,Leather Gloves and Mittens,"All Other Miscellaneous Textile ProductMills"
3569,314999,"General Industrial Machinery,","All Other Miscellaneous Textile ProductMills"
7389,314999,"Business Services, Nec","All Other Miscellaneous Textile ProductMills"
2251,315110,"Women's Hosiery, Except Socks",Hosiery and Sock Mills
2252,315110,"Hosiery, Nec",Hosiery and Sock Mills
2252,315110,"Hosiery, Nec",Hosiery and Sock Mills
2253,315190,Knit Outerwear Mills,Other Apparel Knitting Mills
2253,315190,Knit Outerwear Mills,Other Apparel Knitting Mills
2254,315190,Knit Underwear Mills,Other Apparel Knitting Mills
2259,315190,"Knitting Mills, Nec",Other Apparel Knitting Mills
2259,315190,"Knitting Mills, Nec",Other Apparel Knitting Mills
2311,315210,Men's and Boy's Suits and Coats,Cut and Sew Apparel Contractors
2321,315210,Men's and Boy's Furnishings,Cut and Sew Apparel Contractors
2322,315210,Men's and Boy's Underwear and Nightwear,Cut and Sew Apparel Contractors
2323,315210,Men's and Boy's Neckwear,Cut and Sew Apparel Contractors
2325,315210,Men's and Boy's Trousers and Slacks,Cut and Sew Apparel Contractors
2326,315210,Men's and Boy's Work Clothing,Cut and Sew Apparel Contractors
2329,315210,"Men's and Boy's Clothing, Nec",Cut and Sew Apparel Contractors
2331,315210,Women's and Misses' Blouses and Shirts,Cut and Sew Apparel Contractors
2335,315210,"Women's, Junior's, and Misses' Dresses",Cut and Sew Apparel Contractors
2337,315210,Women's and Misses' Suits and Coats,Cut and Sew Apparel Contractors
2339,315210,"Women's and Misses' Outerwear, Nec",Cut and Sew Apparel Contractors
2341,315210,Women's and Children's Underwear,Cut and Sew Apparel Contractors
2341,315210,Women's and Children's Underwear,Cut and Sew Apparel Contractors
2342,315210,"Bras, Girdles, and Allied Garments",Cut and Sew Apparel Contractors
2353,315210,"Hats, Caps, and Millinery",Cut and Sew Apparel Contractors
2353,315210,"Hats, Caps, and Millinery",Cut and Sew Apparel Contractors
2361,315210,"Girl's and Children's Dresses, Blouses",Cut and Sew Apparel Contractors
2369,315210,"Girl's and Children's Outerwear, Nec",Cut and Sew Apparel Contractors
2369,315210,"Girl's and Children's Outerwear, Nec",Cut and Sew Apparel Contractors
2371,315210,Fur Goods,Cut and Sew Apparel Contractors
2371,315210,Fur Goods,Cut and Sew Apparel Contractors
2381,315210,Fabric Dress and Work Gloves,Cut and Sew Apparel Contractors
2381,315210,Fabric Dress and Work Gloves,Cut and Sew Apparel Contractors
2384,315210,Robes and Dressing Gowns,Cut and Sew Apparel Contractors
2384,315210,Robes and Dressing Gowns,Cut and Sew Apparel Contractors
2385,315210,Waterproof Outerwear,Cut and Sew Apparel Contractors
2385,315210,Waterproof Outerwear,Cut and Sew Apparel Contractors
2386,315210,Leather and Sheep-lined Clothing,Cut and Sew Apparel Contractors
2386,315210,Leather and Sheep-lined Clothing,Cut and Sew Apparel Contractors
2387,315210,Apparel Belts,Cut and Sew Apparel Contractors
2387,315210,Apparel Belts,Cut and Sew Apparel Contractors
2389,315210,"Apparel and Accessories, Nec",Cut and Sew Apparel Contractors
2389,315210,"Apparel and Accessories, Nec",Cut and Sew Apparel Contractors
2395,315210,Pleating and Stitching,Cut and Sew Apparel Contractors
2395,315210,Pleating and Stitching,Cut and Sew Apparel Contractors
2396,315210,Automotive and Apparel Trimmings,Cut and Sew Apparel Contractors
2396,315210,Automotive and Apparel Trimmings,Cut and Sew Apparel Contractors
2399,315210,"Fabricated Textile Products, Nec",Cut and Sew Apparel Contractors
2399,315210,"Fabricated Textile Products, Nec",Cut and Sew Apparel Contractors
3151,315210,Leather Gloves and Mittens,Cut and Sew Apparel Contractors
3151,315210,Leather Gloves and Mittens,Cut and Sew Apparel Contractors
2311,315220,Men's and Boy's Suits and Coats,"Men’s and Boys’ Cut and Sew ApparelManufacturing"
2321,315220,Men's and Boy's Furnishings,"Men’s and Boys’ Cut and Sew ApparelManufacturing"
2322,315220,Men's and Boy's Underwear and Nightwear,"Men’s and Boys’ Cut and Sew ApparelManufacturing"
2325,315220,Men's and Boy's Trousers and Slacks,"Men’s and Boys’ Cut and Sew ApparelManufacturing"
2326,315220,Men's and Boy's Work Clothing,"Men’s and Boys’ Cut and Sew ApparelManufacturing"
2329,315220,"Men's and Boy's Clothing, Nec","Men’s and Boys’ Cut and Sew ApparelManufacturing"
2341,315220,Women's and Children's Underwear,"Men’s and Boys’ Cut and Sew ApparelManufacturing"
2361,315220,"Girl's and Children's Dresses, Blouses","Men’s and Boys’ Cut and Sew ApparelManufacturing"
2369,315220,"Girl's and Children's Outerwear, Nec","Men’s and Boys’ Cut and Sew ApparelManufacturing"
2369,315220,"Girl's and Children's Outerwear, Nec","Men’s and Boys’ Cut and Sew ApparelManufacturing"
2369,315220,"Girl's and Children's Outerwear, Nec","Men’s and Boys’ Cut and Sew ApparelManufacturing"
2369,315220,"Girl's and Children's Outerwear, Nec","Men’s and Boys’ Cut and Sew ApparelManufacturing"
2386,315280,Leather and Sheep-lined Clothing,Other Cut and Sew Apparel Manufacturing
2389,315280,"Apparel and Accessories, Nec",Other Cut and Sew Apparel Manufacturing
3069,315280,"Fabricated Rubber Products, Nec",Other Cut and Sew Apparel Manufacturing
2323,315990,Men's and Boy's Neckwear,"Apparel Accessories and Other ApparelManufacturing"
2339,315990,"Women's and Misses' Outerwear, Nec","Apparel Accessories and Other ApparelManufacturing"
2353,315990,"Hats, Caps, and Millinery","Apparel Accessories and Other ApparelManufacturing"
2381,315990,Fabric Dress and Work Gloves,"Apparel Accessories and Other ApparelManufacturing"
2385,315990,Waterproof Outerwear,"Apparel Accessories and Other ApparelManufacturing"
2387,315990,Apparel Belts,"Apparel Accessories and Other ApparelManufacturing"
2389,315990,"Apparel and Accessories, Nec","Apparel Accessories and Other ApparelManufacturing"
2396,315990,Automotive and Apparel Trimmings,"Apparel Accessories and Other ApparelManufacturing"
2399,315990,"Fabricated Textile Products, Nec","Apparel Accessories and Other ApparelManufacturing"
3069,315990,"Fabricated Rubber Products, Nec","Apparel Accessories and Other ApparelManufacturing"
3151,315990,Leather Gloves and Mittens,"Apparel Accessories and Other ApparelManufacturing"
3111,316110,Leather Tanning and Finishing,Leather and Hide Tanning and Finishing
3999,316110,"Manufacturing Industries, Nec",Leather and Hide Tanning and Finishing
3021,316210,Rubber and Plastics Footwear,Footwear Manufacturing
3142,316210,House Slippers,Footwear Manufacturing
3143,316210,"Men's Footwear, Except athletic",Footwear Manufacturing
3144,316210,"Women's Footwear, Except athletic",Footwear Manufacturing
3149,316210,"Footwear, Except Rubber, Nec",Footwear Manufacturing
3171,316992,Women's Handbags and Purses,"Women's Handbag and PurseManufacturing"
3131,316998,Footwear Cut Stock,"All Other Leather Good and Allied ProductManufacturing"
3161,316998,Luggage,"All Other Leather Good and Allied ProductManufacturing"
3172,316998,"Personal Leather Goods, Nec","All Other Leather Good and Allied ProductManufacturing"
3199,316998,"Leather Goods, Nec","All Other Leather Good and Allied ProductManufacturing"
2421,321113,"Sawmills and Planing Mills, General",Sawmills
2426,321113,Hardwood Dimension and Flooring Mills,Sawmills
2429,321113,"Special Product Sawmills, Nec",Sawmills
2491,321114,Wood Preserving,Wood Preservation
2435,321211,Hardwood Veneer and Plywood,"Hardwood Veneer and PlywoodManufacturing"
2436,321212,Softwood Veneer and Plywood,"Softwood Veneer and PlywoodManufacturing"
2439,321214,"Structural Wood Members, Nec",Truss Manufacturing
2493,321219,Reconstituted Wood Products,Reconstituted Wood Product Manufacturing
2431,321911,Millwork,Wood Window and Door Manufacturing
2421,321912,"Sawmills and Planing Mills, General","Cut Stock, Resawing Lumber, and Planing"
2426,321912,Hardwood Dimension and Flooring Mills,"Cut Stock, Resawing Lumber, and Planing"
2421,321918,"Sawmills and Planing Mills, General",Other Millwork (including Flooring)
2426,321918,Hardwood Dimension and Flooring Mills,Other Millwork (including Flooring)
2431,321918,Millwork,Other Millwork (including Flooring)
2421,321920,"Sawmills and Planing Mills, General",Wood Container and Pallet Manufacturing
2429,321920,"Special Product Sawmills, Nec",Wood Container and Pallet Manufacturing
2441,321920,Nailed Wood Boxes and Shook,Wood Container and Pallet Manufacturing
2448,321920,Wood Pallets and Skids,Wood Container and Pallet Manufacturing
2449,321920,"Wood Containers, Nec",Wood Container and Pallet Manufacturing
2499,321920,"Wood Products, Nec",Wood Container and Pallet Manufacturing
2451,321991,Mobile Homes,"Manufactured Home (Mobile Home)Manufacturing"
2452,321992,Prefabricated Wood Buildings,Prefabricated Wood Building Manufacturing
2421,321999,"Sawmills and Planing Mills, General","All Other Miscellaneous Wood ProductManufacturing"
2429,321999,"Special Product Sawmills, Nec","All Other Miscellaneous Wood ProductManufacturing"
2499,321999,"Wood Products, Nec","All Other Miscellaneous Wood ProductManufacturing"
2517,321999,Wood Television and Radio Cabinets,"All Other Miscellaneous Wood ProductManufacturing"
3131,321999,Footwear Cut Stock,"All Other Miscellaneous Wood ProductManufacturing"
3999,321999,"Manufacturing Industries, Nec","All Other Miscellaneous Wood ProductManufacturing"
2611,322110,Pulp Mills,Pulp Mills
2611,322121,Pulp Mills,Paper (except Newsprint) Mills
2621,322121,Paper Mills,Paper (except Newsprint) Mills
2611,322122,Pulp Mills,Newsprint Mills
2621,322122,Paper Mills,Newsprint Mills
2611,322130,Pulp Mills,Paperboard Mills
2631,322130,Paperboard Mills,Paperboard Mills
2653,322211,Corrugated and Solid Fiber Boxes,"Corrugated and Solid Fiber BoxManufacturing"
2679,322211,"Converted Paper Products, Nec","Corrugated and Solid Fiber BoxManufacturing"
2657,322212,Folding Paperboard Boxes,Folding Paperboard Box Manufacturing
2652,322219,Setup Paperboard Boxes,Other Paperboard Container Manufacturing
2655,322219,"Fiber Cans, Drums, and Similar Products",Other Paperboard Container Manufacturing
2656,322219,Sanitary Food Containers,Other Paperboard Container Manufacturing
2672,322220,"Paper; Coated and Laminated, Nec","Paper Bag and Coated and Treated PaperManufacturing"
2673,322220,"Bags: Plastic, Laminated, and Coated","Paper Bag and Coated and Treated PaperManufacturing"
2674,322220,Bags: Uncoated Paper and Multiwall,"Paper Bag and Coated and Treated PaperManufacturing"
2675,322220,Die-cut Paper and Board,"Paper Bag and Coated and Treated PaperManufacturing"
2679,322220,"Converted Paper Products, Nec","Paper Bag and Coated and Treated PaperManufacturing"
3497,322220,Metal Foil and Leaf,"Paper Bag and Coated and Treated PaperManufacturing"
2675,322230,Die-cut Paper and Board,Stationery Product Manufacturing
2677,322230,Envelopes,Stationery Product Manufacturing
2678,322230,Stationery Products,Stationery Product Manufacturing
2679,322230,"Converted Paper Products, Nec",Stationery Product Manufacturing
2676,322291,Sanitary Paper Products,Sanitary Paper Product Manufacturing
3842,322291,Surgical Appliances and Supplies,Sanitary Paper Product Manufacturing
2675,322299,Die-cut Paper and Board,"All Other Converted Paper ProductManufacturing"
2679,322299,"Converted Paper Products, Nec","All Other Converted Paper ProductManufacturing"
2752,323111,"Commercial Printing, Lithographic","Commercial Printing (except Screen andBooks)"
2752,323111,"Commercial Printing, Lithographic","Commercial Printing (except Screen andBooks)"
2754,323111,"Commercial Printing, Gravure","Commercial Printing (except Screen andBooks)"
2759,323111,"Commercial Printing, Nec","Commercial Printing (except Screen andBooks)"
2759,323111,"Commercial Printing, Nec","Commercial Printing (except Screen andBooks)"
2759,323111,"Commercial Printing, Nec","Commercial Printing (except Screen andBooks)"
2759,323111,"Commercial Printing, Nec","Commercial Printing (except Screen andBooks)"
2761,323111,Manifold Business Forms,"Commercial Printing (except Screen andBooks)"
2771,323111,Greeting Cards,"Commercial Printing (except Screen andBooks)"
2771,323111,Greeting Cards,"Commercial Printing (except Screen andBooks)"
2771,323111,Greeting Cards,"Commercial Printing (except Screen andBooks)"
2771,323111,Greeting Cards,"Commercial Printing (except Screen andBooks)"
2782,323111,Blankbooks and Looseleaf Binders,"Commercial Printing (except Screen andBooks)"
2782,323111,Blankbooks and Looseleaf Binders,"Commercial Printing (except Screen andBooks)"
2396,323113,Automotive and Apparel Trimmings,Commercial Screen Printing
2759,323113,"Commercial Printing, Nec",Commercial Screen Printing
2771,323113,Greeting Cards,Commercial Screen Printing
3993,323113,Signs and Advertising Specialties,Commercial Screen Printing
2732,323117,Book Printing,Books Printing
2789,323120,Bookbinding and Related Work,Support Activities for Printing
2791,323120,Typesetting,Support Activities for Printing
2796,323120,Platemaking Services,Support Activities for Printing
2911,324110,Petroleum Refining,Petroleum Refineries
2951,324121,Asphalt Paving Mixtures and Blocks,"Asphalt Paving Mixture and BlockManufacturing"
2952,324122,Asphalt Felts and Coatings,"Asphalt Shingle and Coating MaterialsManufacturing"
2992,324191,Lubricating Oils and Greases,"Petroleum Lubricating Oil and GreaseManufacturing"
2999,324199,"Petroleum and Coal Products, Nec","All Other Petroleum and Coal ProductsManufacturing"
3312,324199,Blast Furnaces and Steel Mills,"All Other Petroleum and Coal ProductsManufacturing"
2865,325110,Cyclic Crudes and Intermediates,Petrochemical Manufacturing
2869,325110,"Industrial Organic Chemicals, Nec",Petrochemical Manufacturing
2813,325120,Industrial Gases,Industrial Gas Manufacturing
2869,325120,"Industrial Organic Chemicals, Nec",Industrial Gas Manufacturing
2816,325130,Inorganic Pigments,Synthetic Dye and Pigment Manufacturing
2819,325130,"Industrial Inorganic Chemicals, Nec",Synthetic Dye and Pigment Manufacturing
2865,325130,Cyclic Crudes and Intermediates,Synthetic Dye and Pigment Manufacturing
2812,325180,Alkalies and Chlorine,"Other Basic Inorganic ChemicalManufacturing"
2816,325180,Inorganic Pigments,"Other Basic Inorganic ChemicalManufacturing"
2819,325180,"Industrial Inorganic Chemicals, Nec","Other Basic Inorganic ChemicalManufacturing"
2869,325180,"Industrial Organic Chemicals, Nec","Other Basic Inorganic ChemicalManufacturing"
2895,325180,Carbon Black,"Other Basic Inorganic ChemicalManufacturing"
2869,325193,"Industrial Organic Chemicals, Nec",Ethyl Alcohol Manufacturing
2861,325194,Gum and Wood Chemicals,"Cyclic Crude, Intermediate, and Gum andWood Chemical Manufacturing"
2865,325194,Cyclic Crudes and Intermediates,"Cyclic Crude, Intermediate, and Gum andWood Chemical Manufacturing"
2869,325194,"Industrial Organic Chemicals, Nec","Cyclic Crude, Intermediate, and Gum andWood Chemical Manufacturing"
2869,325199,"Industrial Organic Chemicals, Nec","All Other Basic Organic ChemicalManufacturing"
2899,325199,"Chemical Preparations, Nec","All Other Basic Organic ChemicalManufacturing"
2821,325211,Plastics Materials and Resins,Plastics Material and Resin Manufacturing
2822,325212,Synthetic Rubber,Synthetic Rubber Manufacturing
3089,326122,"Plastics Products, Nec","Plastics Pipe and Pipe FittingManufacturing"
3083,326130,Laminated Plastics Plate and Sheet,"Laminated Plastics Plate, Sheet (exceptPackaging), and Shape Manufacturing"
3086,326140,Plastics Foam Products,Polystyrene Foam Product Manufacturing
3086,326150,Plastics Foam Products,"Urethane and Other Foam Product (exceptPolystyrene) Manufacturing"
3085,326160,Plastics Bottles,Plastics Bottle Manufacturing
3088,326191,Plastics Plumbing Fixtures,Plastics Plumbing Fixture Manufacturing
3069,326199,"Fabricated Rubber Products, Nec",All Other Plastics Product Manufacturing
3089,326199,"Plastics Products, Nec",All Other Plastics Product Manufacturing
3996,326199,"Hard Surface Floor Coverings, Nec",All Other Plastics Product Manufacturing
3999,326199,"Manufacturing Industries, Nec",All Other Plastics Product Manufacturing
3011,326211,Tires and Inner Tubes,Tire Manufacturing (except Retreading)
7534,326212,Tire Retreading and Repair Shops,Tire Retreading
3052,326220,Rubber and Plastics Hose and Beltings,"Rubber and Plastics Hoses and BeltingManufacturing"
3061,326291,Mechanical Rubber Goods,"Rubber Product Manufacturing forMechanical Use"
3061,326299,Mechanical Rubber Goods,All Other Rubber Product Manufacturing
3069,326299,"Fabricated Rubber Products, Nec",All Other Rubber Product Manufacturing
3261,327110,Vitreous Plumbing Fixtures,"Pottery, Ceramics, and Plumbing FixtureManufacturing"
3262,327110,Vitreous China Table and Kitchenware,"Pottery, Ceramics, and Plumbing FixtureManufacturing"
3263,327110,Semivitreous Table and Kitchenware,"Pottery, Ceramics, and Plumbing FixtureManufacturing"
3264,327110,Porcelain Electrical Supplies,"Pottery, Ceramics, and Plumbing FixtureManufacturing"
3269,327110,"Pottery Products, Nec","Pottery, Ceramics, and Plumbing FixtureManufacturing"
3299,327110,"Nonmetallic Mineral Products,","Pottery, Ceramics, and Plumbing FixtureManufacturing"
5719,327110,Miscellaneous Homefurnishings,"Pottery, Ceramics, and Plumbing FixtureManufacturing"
3251,327120,Brick and Structural Clay Tile,"Clay Building Material and RefractoriesManufacturing"
3253,327120,Ceramic Wall and Floor Tile,"Clay Building Material and RefractoriesManufacturing"
3255,327120,Clay Refractories,"Clay Building Material and RefractoriesManufacturing"
3259,327120,"Structural Clay Products, Nec","Clay Building Material and RefractoriesManufacturing"
3297,327120,Nonclay Refractories,"Clay Building Material and RefractoriesManufacturing"
3211,327211,Flat Glass,Flat Glass Manufacturing
3229,327212,"Pressed and Blown Glass, Nec","Other Pressed and Blown Glass andGlassware Manufacturing"
3221,327213,Glass Containers,Glass Container Manufacturing
3231,327215,Products of Purchased Glass,"Glass Product Manufacturing Made ofPurchased Glass"
3273,327320,Ready-mixed Concrete,Ready-Mix Concrete Manufacturing
3251,327331,Brick and Structural Clay Tile,Concrete Block and Brick Manufacturing
3271,327331,Concrete Block and Brick,Concrete Block and Brick Manufacturing
3272,327332,"Concrete Products, Nec",Concrete Pipe Manufacturing
3272,327390,"Concrete Products, Nec",Other Concrete Product Manufacturing
3274,327410,Lime,Lime Manufacturing
3275,327420,Gypsum Products,Gypsum Product Manufacturing
3299,327420,"Nonmetallic Mineral Products,",Gypsum Product Manufacturing
3291,327910,Abrasive Products,Abrasive Product Manufacturing
3281,327991,Cut Stone and Stone Products,"Cut Stone and Stone ProductManufacturing"
3295,327992,"Minerals, Ground or Treated","Ground or Treated Mineral and EarthManufacturing"
3296,327993,Mineral Wool,Mineral Wool Manufacturing
3272,327999,"Concrete Products, Nec","All Other Miscellaneous NonmetallicMineral Product Manufacturing"
3292,327999,Asbestos Products,"All Other Miscellaneous NonmetallicMineral Product Manufacturing"
3299,327999,"Nonmetallic Mineral Products,","All Other Miscellaneous NonmetallicMineral Product Manufacturing"
3312,331110,Blast Furnaces and Steel Mills,"Iron and Steel Mills and FerroalloyManufacturing"
3313,331110,Electrometallurgical Products,"Iron and Steel Mills and FerroalloyManufacturing"
3399,331110,Primary Metal Products,"Iron and Steel Mills and FerroalloyManufacturing"
3317,331210,Steel Pipe and Tubes,"Iron and Steel Pipe and TubeManufacturing from Purchased Steel"
3312,331221,Blast Furnaces and Steel Mills,Rolled Steel Shape Manufacturing
3316,331221,Cold Finishing of Steel Shapes,Rolled Steel Shape Manufacturing
3399,331221,Primary Metal Products,Rolled Steel Shape Manufacturing
3315,331222,Steel Wire and Related Products,Steel Wire Drawing
2819,331313,"Industrial Inorganic Chemicals, Nec","Alumina Refining and Primary AluminumProduction"
3334,331313,Primary Aluminum,"Alumina Refining and Primary AluminumProduction"
3341,331314,Secondary Nonferrous Metals,"Secondary Smelting and Alloying ofAluminum"
3399,331314,Primary Metal Products,"Secondary Smelting and Alloying ofAluminum"
3353,331315,"Aluminum Sheet, Plate, and Foil","Aluminum Sheet, Plate, and FoilManufacturing"
3354,331318,Aluminum Extruded Products,"Other Aluminum Rolling, Drawing, andExtruding"
3355,331318,"Aluminum Rolling and Drawing, Nec","Other Aluminum Rolling, Drawing, andExtruding"
3357,331318,Nonferrous Wiredrawing and Insulating,"Other Aluminum Rolling, Drawing, andExtruding"
3331,331410,Primary Copper,"Nonferrous Metal (except Aluminum)Smelting and Refining"
3341,331420,Secondary Nonferrous Metals,"Copper Rolling, Drawing, Extruding, andAlloying"
3351,331420,Copper Rolling and Drawing,"Copper Rolling, Drawing, Extruding, andAlloying"
3357,331420,Nonferrous Wiredrawing and Insulating,"Copper Rolling, Drawing, Extruding, andAlloying"
3399,331420,Primary Metal Products,"Copper Rolling, Drawing, Extruding, andAlloying"
3356,331491,"Nonferrous Rolling and Drawing, Nec","Nonferrous Metal (except Copper andAluminum) Rolling, Drawing, and Extruding"
3357,331491,Nonferrous Wiredrawing and Insulating,"Nonferrous Metal (except Copper andAluminum) Rolling, Drawing, and Extruding"
3341,331492,Secondary Nonferrous Metals,"Secondary Smelting, Refining, and Alloyingof Nonferrous Metal (except Copper andAluminum)"
3399,331492,Primary Metal Products,"Secondary Smelting, Refining, and Alloyingof Nonferrous Metal (except Copper andAluminum)"
3321,331511,Gray and Ductile Iron Foundries,Iron Foundries
3322,331511,Malleable Iron Foundries,Iron Foundries
3324,331512,Steel Investment Foundries,Steel Investment Foundries
3325,331513,"Steel Foundries, Nec",Steel Foundries (except Investment)
3363,331523,Aluminum Die-castings,Nonferrous Metal Die-Casting Foundries
3364,331523,Nonferrous Die-castings Except Aluminum,Nonferrous Metal Die-Casting Foundries
3365,331524,Aluminum Foundries,Aluminum Foundries (except Die-Casting)
3366,331529,Copper Foundries,"Other Nonferrous Metal Foundries (exceptDie-Casting)"
3369,331529,"Nonferrous Foundries, Nec","Other Nonferrous Metal Foundries (exceptDie-Casting)"
3462,332111,Iron and Steel Forgings,Iron and Steel Forging
3463,332112,Nonferrous Forgings,Nonferrous Forging
3449,332114,Miscellaneous Metalwork,Custom Roll Forming
3499,332117,"Fabricated Metal Products, Nec",Powder Metallurgy Part Manufacturing
3466,332119,Crowns and Closures,"Metal Crown, Closure, and Other MetalStamping (except Automotive)"
3469,332119,"Metal Stampings, Nec","Metal Crown, Closure, and Other MetalStamping (except Automotive)"
3421,332215,Cutlery,"Metal Kitchen Cookware, Utensil, Cutlery,and Flatware (except Precious)Manufacturing"
3469,332215,"Metal Stampings, Nec","Metal Kitchen Cookware, Utensil, Cutlery,and Flatware (except Precious)Manufacturing"
3496,332215,Miscellaneous Fabricated Wire Products,"Metal Kitchen Cookware, Utensil, Cutlery,and Flatware (except Precious)Manufacturing"
3914,332215,Silverware and Plated Ware,"Metal Kitchen Cookware, Utensil, Cutlery,and Flatware (except Precious)Manufacturing"
3421,332216,Cutlery,Saw Blade and Handtool Manufacturing
3423,332216,"Hand and Edge Tools, Nec",Saw Blade and Handtool Manufacturing
3425,332216,Saw Blades and Handsaws,Saw Blade and Handtool Manufacturing
3523,332216,Farm Machinery and Equipment,Saw Blade and Handtool Manufacturing
3524,332216,Lawn and Garden Equipment,Saw Blade and Handtool Manufacturing
3545,332216,Machine Tool Accessories,Saw Blade and Handtool Manufacturing
3644,332216,Noncurrent-carrying Wiring Devices,Saw Blade and Handtool Manufacturing
3999,332216,"Manufacturing Industries, Nec",Saw Blade and Handtool Manufacturing
3448,332311,Prefabricated Metal Buildings,"Prefabricated Metal Building andComponent Manufacturing"
3441,332312,Fabricated Structural Metal,Fabricated Structural Metal Manufacturing
3449,332312,Miscellaneous Metalwork,Fabricated Structural Metal Manufacturing
3443,332313,Fabricated Plate Work (boiler Shop),Plate Work Manufacturing
3442,332321,"Metal Doors, Sash, and Trim",Metal Window and Door Manufacturing
3444,332321,Sheet Metalwork,Metal Window and Door Manufacturing
3444,332322,Sheet Metalwork,Sheet Metal Work Manufacturing
3446,332323,Architectural Metalwork,"Ornamental and Architectural Metal WorkManufacturing"
3449,332323,Miscellaneous Metalwork,"Ornamental and Architectural Metal WorkManufacturing"
3523,332323,Farm Machinery and Equipment,"Ornamental and Architectural Metal WorkManufacturing"
3443,332410,Fabricated Plate Work (boiler Shop),"Power Boiler and Heat ExchangerManufacturing"
3559,332410,"Special Industry Machinery, Nec","Power Boiler and Heat ExchangerManufacturing"
3443,332420,Fabricated Plate Work (boiler Shop),Metal Tank (Heavy Gauge) Manufacturing
3411,332431,Metal Cans,Metal Can Manufacturing
3412,332439,"Metal Barrels, Drums, and Pails",Other Metal Container Manufacturing
3429,332439,"Hardware, Nec",Other Metal Container Manufacturing
3444,332439,Sheet Metalwork,Other Metal Container Manufacturing
3469,332439,"Metal Stampings, Nec",Other Metal Container Manufacturing
3499,332439,"Fabricated Metal Products, Nec",Other Metal Container Manufacturing
3537,332439,Industrial Trucks and Tractors,Other Metal Container Manufacturing
3429,332510,"Hardware, Nec",Hardware Manufacturing
3499,332510,"Fabricated Metal Products, Nec",Hardware Manufacturing
3493,332613,"Steel Springs, Except Wire",Spring Manufacturing
3495,332613,Wire Springs,Spring Manufacturing
3315,332618,Steel Wire and Related Products,"Other Fabricated Wire ProductManufacturing"
3399,332618,Primary Metal Products,"Other Fabricated Wire ProductManufacturing"
3496,332618,Miscellaneous Fabricated Wire Products,"Other Fabricated Wire ProductManufacturing"
3599,332710,"Industrial Machinery, Nec",Machine Shops
3451,332721,Screw Machine Products,Precision Turned Product Manufacturing
3429,332722,"Hardware, Nec","Bolt, Nut, Screw, Rivet, and WasherManufacturing"
3452,332722,"Bolts, Nuts, Rivets, and Washers","Bolt, Nut, Screw, Rivet, and WasherManufacturing"
3479,332812,Metal Coating and Allied Services,"Metal Coating, Engraving (except Jewelryand Silverware), and Allied Services toManufacturers"
3999,332812,"Manufacturing Industries, Nec","Metal Coating, Engraving (except Jewelryand Silverware), and Allied Services toManufacturers"
3399,332813,Primary Metal Products,"Electroplating, Plating, Polishing,Anodizing, and Coloring"
3471,332813,Plating and Polishing,"Electroplating, Plating, Polishing,Anodizing, and Coloring"
3599,332813,"Industrial Machinery, Nec","Electroplating, Plating, Polishing,Anodizing, and Coloring"
3491,332911,Industrial Valves,Industrial Valve Manufacturing
